traveltime,stop_id,stop_name,stop_lat,stop_lon
"(0, 21.23, ['8595534', '8595602', '8595521', '8501210'])",8595534,"Renens VD, piscine",46.530403,6.585271
"(0, 67.0, ['8592222', '8592206', '8592207', '8592211', '8592217', 'Parent8518452', '8592215', '8501209', '8501210'])",8592222,"Renens VD, Sur-la-Croix",46.54104,6.593733
"(0, 43.07, ['8592220', '8592213', '8592218', '8592210', '8595521', '8501210'])",8592220,"Renens VD, Saugiaz",46.54028,6.586322
"(1, 'time exceeded', {'8579248', '8504172', '8579249', '8592228', '8592194', '8504173', '8592233'})",8592194,"Pully, Ravessoud",46.539173,6.6969137
"(1, 'already visited', {'8501121:0:2', '8592146', 'Parent8504003', '8592191', '8591976', '8592147', '8504003', '8593850', '8593795', '8592177', '8509297', '8579257', '8595191', '8588435', '8579259', '8588452', '8504003:0:2', '8592185', '8592153', '8592169', '8592171', '8592199', '8504000:0:1', '8592154', '8592150', '8588449', '8504003:0:1', '8504000', '8588445:0:B', 'Parent8501122', '8592155', '8588445', '8588446', 'Parent8504000', '8592023', 'Parent8501121', '8588442', '8592158', '8595190', '8592188', '8588436', 'Parent8588445', '8593861', '8579258', '8592151', '8588434', '8595625', '8593798', '8592164', '8579256', '8592160', '8592189', '8592152', '8504010:0:2', '8592167', '8588451', '8504000:0:2', '8592159', '8592183', '8592157', '8588445:0:D', '8592195', '8592156', '8592149', '8588443', '8592145', '8588447', '8588439', '8504010:0:1', 'Parent8504010', '8588450', '8593856', '8501318', '8501122:0:1', '8593806', '8501121:0:1', '8592168', '8588448', '8592162', '8595192', '8504010', '8501122:0:2', '8588432'})",8592157,"Lutry, Marionnettes",46.512657,6.6851454
"(1, 'already visited', {'8501121:0:2', '8592009', '8592131', '8592120', '8501120:0:70', '8510575', '8579238', '8501120:0:4', '8579254', '8592109', '8592127', '8579246', '8501120:0:6', '8579238:0:D', '8579239:0:B', '8592143', '8592076', '8579237', '8592065', '8592111', '8592099', '8593249', '8589525', '8592025', '8592071', '8592133', '8588431', '8591981', '8592008', '8587546', 'Parent8501160', '8592027', '8579245', '8591978', '8592082', '8501120:0:5', '8592020', '8589523', 'Parent8592050', '8592011', '8593821', '8501120:0:8', '8504176', '8579239:0:E', '8592050', '8591994', '8592041', '8592045', '8501160:0:1', '8501160:0:2', '8592060', '8592066', '8592115', '8592083', '8592050:0:C', '8592019', '8591992', '8592001', '8592012', '8592038', '8591984', '8592034', '8592125', '8592081', '8501120', '8591964', '8592135', '8592047', 'Parent8501181', '8592092', '8592054', '8592035', '8592136', '8592089', '8592137', '8591988', '8592098', '8590442', '8592052', '8592085', '8501181:0:1', '8592053', '8501120:0:3', '8587357', '8592033', '8592055', '8592050:0:F', '8592132', '8592116', '8592017', '8591971', '8592002', 'Parent8579239', '8592010', '8501120:0:7', '8592129', '8591996', '8592074', '8591980', '8592048', '8592091', '8592122', '8592072', '8592126', '8592031', '8510574', '8595004', '8592059', '8579255', '8592118', '8592050:0:D', '8595005', '8501181', '8501181:0:2', '8592104', '8579239', '8591999', '8591977', '8501120:0:1', '8592128', '8592003', '8592016', '8592018', '8591982', '8592004', '8592050:0:H', '8591979', '8501160', '8591997', '8592063', '8592119', '8592042', '8591965', '8592079', '8592096', '8592123', '8591991', 'Parent8501120', '8591818', '8592051', '8501121:0:1', '8592043', '8579253', '8591987', '8592088', '8592040', '8592036', '8592067', '8592112', '8592138'})",8592131,"Lausanne, Victor-Ruffy",46.53165,6.648485
"(1, 'already visited', {'8501121:0:2', '8592131', '8592120', '8501120:0:70', '8510575', '8579238', '8501120:0:4', '8592109', '8592127', '8579246', '8592022', '8501120:0:6', '8579238:0:D', '8501207', '8592143', '8592076', '8592111', '8592065', '8592099', '8593249', '8592025', '8592071', '8592133', '8592008', 'Parent8501160', '8592027', '8579245', '8592082', '8501120:0:5', '8592020', 'Parent8592050', '8592011', '8501120:0:8', '8504176', '8592050', '8591994', '8592041', '8592028', '8501160:0:1', '8501160:0:2', '8592060', '8592066', '8592115', '8592050:0:C', '8592019', '8591992', '8592001', '8591984', '8592034', '8592125', '8592081', '8501120', '8592075', '8592135', '8592047', 'Parent8501181', '8592092', '8592054', '8592035', '8592089', '8592137', '8591988', '8592078', '8592098', '8590442', '8592085', '8592052', '8501181:0:1', '8501120:0:3', '8592053', '8587357', '8592033', '8592055', '8592050:0:F', '8592132', '8592057', '8592116', '8592017', '8592002', '8592010', '8501120:0:7', '8592064', '8591996', '8591980', '8592048', '8592122', '8592091', '8592126', '8591985', '8592031', '8595004', '8592059', '8579255', '8592118', '8592050:0:D', '8591990', '8595005', '8501181', '8501181:0:2', '8592134', '8592104', '8592087', '8592056', '8591977', '8501120:0:1', '8592003', '8592016', '8591982', '8592004', '8592050:0:H', '8591993', '8501208', '8592032', '8501160', '8592094', '8591997', '8592063', '8592119', '8592097', '8592103', '8579247', '8592101', '8592079', '8592096', '8591998', 'Parent8501120', '8591818', '8592024', '8501121:0:1', '8579253', '8591987', '8592088', '8592102', '8592040', '8592036', '8592067', '8592140', '8592112', '8592046', '8592138'})",8592059,"Lausanne, Hermitage",46.53018,6.6362324
"(0, 67.0, ['8592057', '8592032', '8592124', '8592181', '8592180', '8592217', 'Parent8518452', '8592215', '8592114', '8592219', '8501209', 'Parent8518452', '8510543', '8501209', '8501210'])",8592057,"Lausanne, Grey",46.53355,6.619128
"(1, 'already visited', {'8592053', '8587357', '8592055', '8592033', '8592132', '8592116', '8592010', '8591996', '8592143', '8592076', '8591980', '8592048', '8592111', '8592091', '8595004', '8593249', '8592099', '8592030', '8592059', '8592118', '8592071', '8592000', '8595005', '8592104', '8592087', 'Parent8501160', '8591977', '8592003', '8592016', '8592082', '8592018', '8591982', '8592011', '8501160', '8591997', '8591994', '8592063', '8592119', '8501160:0:1', '8501160:0:2', '8592060', '8592066', '8592115', '8592019', '8591992', '8592001', '8591984', '8592096', '8592034', '8592125', '8592081', '8592135', '8592047', '8592092', '8592054', '8592035', '8592089', '8591987', '8592137', '8592088', '8592067', '8592140', '8592138', '8592085'})",8592054,"Lausanne, Grand Vennes",46.54011,6.6462398
"(1, 'already visited', {'8501121:0:2', '8592009', '8592131', '8592120', '8501120:0:70', '8510575', '8579238', '8501120:0:4', '8579254', '8592109', '8592127', '8579246', '8501120:0:6', '8579238:0:D', '8579239:0:B', '8592076', '8579237', '8592111', '8592065', '8592099', '8593249', '8592025', '8592071', '8592133', '8588431', '8592008', '8591981', 'Parent8501160', '8592027', '8579245', '8591978', '8592082', '8501120:0:5', '8592020', '8589523', 'Parent8592050', '8592011', '8501120:0:8', '8504176', '8579239:0:E', '8592050', '8592041', '8592045', '8501160:0:1', '8501160:0:2', '8592060', '8592066', '8592115', '8592083', '8592050:0:C', '8592019', '8591992', '8592001', '8592012', '8592038', '8591984', '8592034', '8592125', '8592081', '8501120', '8591964', '8592135', '8592047', 'Parent8501181', '8592092', '8592054', '8592035', '8592136', '8592089', '8592137', '8591988', '8592098', '8590442', '8592052', '8592085', '8501181:0:1', '8592053', '8501120:0:3', '8587357', '8592033', '8592055', '8592050:0:F', '8592132', '8592116', '8592017', '8591971', '8592002', 'Parent8579239', '8592010', '8501120:0:7', '8592129', '8591996', '8592074', '8591980', '8592048', '8592091', '8592122', '8592072', '8592126', '8592031', '8510574', '8595004', '8592059', '8579255', '8592118', '8592050:0:D', '8501181', '8501181:0:2', '8592104', '8579239', '8591999', '8591977', '8501120:0:1', '8592128', '8592003', '8592016', '8592018', '8591982', '8592004', '8592050:0:H', '8591979', '8501160', '8591997', '8592063', '8592119', '8592042', '8592079', '8592096', '8592123', '8591991', 'Parent8501120', '8591818', '8592051', '8501121:0:1', '8592043', '8579253', '8591987', '8592088', '8592040', '8592036', '8592067', '8592112', '8592138'})",8592008,"Lausanne, Champ-Rond",46.531868,6.6503
